,Merkmal,2008,2009,2010,2011 ¹,2012 ¹,2013,2014,2015
,Bevölkerung,3424.1,3436.5,3444.8,3299.6,3348.2,3396.0,3443.1,3485.905468
mit Migrationshintergrund,Total,820.0,835.0,835.4,755.2,810.6,865.9,908.5,964.123904
,Mitte ,154.7,150.8,148.6,124.3,137.3,149.9,149.5,160.773069
,Friedrichshain-Kreuzberg ,97.7,96.4,95.4,77.7,80.7,93.1,98.1,104.161557
,Pankow ,35.4,40.4,42.7,40.0,45.4,47.0,49.0,59.604643
,Charlottenburg-Wilmersdorf ,101.0,98.2,97.2,83.6,89.3,97.5,104.7,99.453427
,Spandau ,57.6,59.1,53.2,49.7,53.5,53.7,61.8,66.486625
,Steglitz-Zehlendorf ,49.4,59.6,58.1,57.2,60.5,55.8,61.3,54.878321
,Tempelhof-Schöneberg ,86.7,90.5,90.2,84.5,91.0,91.1,93.8,103.315483
,Neukölln ,109.8,113.6,117.8,106.1,110.2,126.1,135.0,141.679185
,Treptow-Köpenick ,9.3,12.4,16.5,14.3,16.2,19.7,21.4,25.954081
,Marzahn-Hellersdorf ,27.4,28.3,25.4,28.9,29.9,29.0,32.6,31.794111
,Lichtenberg ,38.5,33.0,34.5,31.3,34.3,41.4,41.4,49.514029
,Reinickendorf ,52.4,52.6,55.8,57.8,62.2,61.8,60.1,66.509373
Weiblich,Total,397.2,402.4,404.6,373.1,400.9,429.8,449.4,476.287399
,Mitte ,71.9,70.4,68.8,60.6,65.7,74.2,69.1,75.352618
,Friedrichshain-Kreuzberg ,45.6,45.2,45.7,37.7,42.8,44.8,48.4,52.230368
,Pankow ,16.6,20.3,22.0,19.7,22.8,25.2,23.3,29.189208
,Charlottenburg-Wilmersdorf ,51.7,44.7,46.1,41.5,45.3,49.3,52.9,49.728666
,Spandau ,27.4,27.4,25.1,25.7,27.6,27.9,30.9,34.313871
,Steglitz-Zehlendorf ,24.0,31.8,30.3,28.0,31.0,27.4,30.7,28.943932
,Tempelhof-Schöneberg ,41.6,46.0,46.2,44.7,46.2,46.5,48.5,52.687556
,Neukölln ,54.1,55.8,57.4,52.2,52.3,60.7,68.2,70.716655
,Treptow-Köpenick ,5.8,7.0,7.9,6.2,7.6,9.6,10.9,13.186092
,Marzahn-Hellersdorf ,14.1,14.1,12.4,14.2,14.6,13.3,15.6,15.047633
,Lichtenberg ,20.6,16.0,16.2,15.0,17.1,22.7,22.1,22.7886
,Reinickendorf ,23.9,23.8,26.6,27.6,27.9,28.2,28.9,32.1022
ohne Migrationshintergrund ,Total,2604.2,2601.5,2609.4,2544.5,2537.6,2530.1,2534.5,2521.781564
,Mitte ,174.2,180.0,185.1,193.5,188.4,183.4,192.0,189.272189
,Friedrichshain-Kreuzberg ,170.9,174.1,173.6,174.2,176.0,168.3,167.8,164.466106
,Pankow ,329.8,326.2,323.5,316.0,315.9,320.7,323.9,319.657761
,Charlottenburg-Wilmersdorf ,216.4,220.6,223.1,207.7,206.7,202.9,199.8,207.998221
,Spandau ,166.4,165.0,170.9,165.0,163.9,166.7,161.8,160.252401
,Steglitz-Zehlendorf ,241.4,232.6,236.0,220.4,219.6,226.9,224.3,231.389781
,Tempelhof-Schöneberg ,245.6,242.9,245.2,233.1,228.6,231.1,232.5,226.758343
,Neukölln ,197.7,197.1,194.1,193.3,195.4,184.2,179.8,176.917797
,Treptow-Köpenick ,229.4,227.6,224.7,224.1,224.4,223.1,223.2,221.549405
,Marzahn-Hellersdorf ,222.3,220.0,222.8,215.4,217.3,220.8,219.1,221.737402
,Lichtenberg ,220.4,225.9,225.4,221.2,222.1,219.0,222.5,217.76098
,Reinickendorf ,189.7,189.4,185.1,180.6,179.4,183.0,187.7,184.021178
Weiblich,Total,1350.9,1351.2,1353.1,1322.6,1317.1,1309.9,1312.1,1303.930638
,Mitte ,84.2,88.2,89.9,96.6,92.8,90.5,93.6,93.377833
,Friedrichshain-Kreuzberg ,84.4,88.7,87.6,86.1,89.6,84.9,82.1,78.096846
,Pankow ,170.3,166.4,170.1,163.0,159.6,163.5,165.9,167.89084
,Charlottenburg-Wilmersdorf ,116.4,121.5,118.2,112.5,110.0,109.0,105.8,107.990859
,Spandau ,90.1,89.1,89.7,85.1,85.2,86.2,85.9,82.167884
,Steglitz-Zehlendorf ,130.6,124.0,126.2,121.7,123.9,126.4,128.5,130.638155
,Tempelhof-Schöneberg ,127.7,124.5,126.0,122.1,120.9,121.1,123.2,118.367766
,Neukölln ,103.4,101.7,99.5,99.2,102.0,96.4,89.9,92.343449
,Treptow-Köpenick ,121.2,117.9,116.8,115.3,113.9,112.9,113.2,111.094626
,Marzahn-Hellersdorf ,111.6,112.1,114.7,111.8,111.4,111.5,111.0,110.449587
,Lichtenberg ,114.4,117.9,115.3,113.5,113.7,109.5,112.8,111.233026
,Reinickendorf ,96.5,99.0,99.1,95.8,94.0,97.8,100.3,100.279767
