,Bezirk,total,unter 45 - verheiratet,"unter 45 - ""ledig/
geschieden/
verwitwet""",45-45 verheiratet,45-65 ledig / geschieden / verwitwet,65 und mehr - verheiratet,65 und mehr - ledig / geschieden / verwitwet
0,Mitte ,350.045258,40.756054,180.19018,40.582603,41.412089,23.199643,23.904689
1,Friedrichshain-Kreuzberg ,268.627663,32.305245,155.973713,25.78588,31.533101,9.973498,13.056226
2,Pankow ,379.262404,33.277281,197.579601,43.516055,47.229356,30.365936,27.294175
3,Charlottenburg-Wilmersdorf ,307.451648,32.569302,115.346311,46.268039,44.551166,34.403913,34.312917
4,Spandau ,226.739026,21.048721,80.199658,34.010703,32.283108,30.688184,28.508652
5,Steglitz-Zehlendorf ,286.268102,24.807913,95.714863,49.301053,36.955157,41.138848,38.350268
6,Tempelhof-Schöneberg ,330.073826,31.129264,125.646635,55.912727,47.964936,36.375765,33.044499
7,Neukölln ,318.596982,38.33235,151.974475,42.427187,37.176742,25.314087,23.372141
8,Treptow-Köpenick ,247.503486,20.749797,101.433832,36.051361,31.655676,37.329217,20.283603
9,Marzahn-Hellersdorf ,253.531513,18.95704,100.453688,54.195162,32.386863,28.319549,19.219211
10,Lichtenberg ,267.275009,20.428541,120.384704,37.470551,32.627713,31.203202,25.160298
11,Reinickendorf ,250.530551,23.526107,88.142137,40.965448,29.602513,39.72627,28.568076
12,Land Berlin,3485.905468,337.887615,1513.039797,506.486769,445.37842,368.038112,315.074755
