Bezirk,Bez-Name,age_group,Hufigkeit
01,Mitte,15_45,186749
01,Mitte,45_65,87290
01,Mitte,65_above,48128
01,Mitte,under_15,49240
02,Friedrichshain-Kreuzberg,15_45,152406
02,Friedrichshain-Kreuzberg,45_65,63775
02,Friedrichshain-Kreuzberg,65_above,28003
02,Friedrichshain-Kreuzberg,under_15,37139
03,Pankow,15_45,173330
03,Pankow,45_65,104923
03,Pankow,65_above,59514
03,Pankow,under_15,59639
04,Charlottenburg-Wilmersdorf,15_45,124378
04,Charlottenburg-Wilmersdorf,45_65,97245
04,Charlottenburg-Wilmersdorf,65_above,77391
04,Charlottenburg-Wilmersdorf,under_15,37235
05,Spandau,15_45,86622
05,Spandau,45_65,66404
05,Spandau,65_above,52794
05,Spandau,under_15,34122
06,Steglitz-Zehlendorf,15_45,98502
06,Steglitz-Zehlendorf,45_65,88382
06,Steglitz-Zehlendorf,65_above,77937
06,Steglitz-Zehlendorf,under_15,39265
07,Tempelhof-Sch�neberg,15_45,130969
07,Tempelhof-Sch�neberg,45_65,99462
07,Tempelhof-Sch�neberg,65_above,71812
07,Tempelhof-Sch�neberg,under_15,43865
08,Neuk�lln,15_45,143828
08,Neuk�lln,45_65,81646
08,Neuk�lln,65_above,57620
08,Neuk�lln,under_15,44428
09,Treptow-K�penick,15_45,94709
09,Treptow-K�penick,45_65,72268
09,Treptow-K�penick,65_above,59248
09,Treptow-K�penick,under_15,33299
10,Marzahn-Hellersdorf,15_45,92124
10,Marzahn-Hellersdorf,45_65,82466
10,Marzahn-Hellersdorf,65_above,49661
10,Marzahn-Hellersdorf,under_15,37764
11,Lichtenberg,15_45,116451
11,Lichtenberg,45_65,72465
11,Lichtenberg,65_above,55544
11,Lichtenberg,under_15,38661
12,Reinickendorf,15_45,89469
12,Reinickendorf,45_65,73630
12,Reinickendorf,65_above,62280
12,Reinickendorf,under_15,36540
