Bezirk;Bez-Name;Ortsteil;Ortst-Name;Geschl;Staatsangeh;Altersgr;Hufigkeit;;;
1;Mitte;101;Mitte;1;A;00_05;410;;;
1;Mitte;101;Mitte;1;A;05_10;318;;;
1;Mitte;101;Mitte;1;A;10_15;261;;;
1;Mitte;101;Mitte;1;A;15_20;537;;;
1;Mitte;101;Mitte;1;A;20_25;1020;;;
1;Mitte;101;Mitte;1;A;25_30;2269;;;
1;Mitte;101;Mitte;1;A;30_35;2513;;;
1;Mitte;101;Mitte;1;A;35_40;1853;;;
1;Mitte;101;Mitte;1;A;40_45;1338;;;
1;Mitte;101;Mitte;1;A;45_50;1001;;;
1;Mitte;101;Mitte;1;A;50_55;723;;;
1;Mitte;101;Mitte;1;A;55_60;474;;;
1;Mitte;101;Mitte;1;A;60_65;275;;;
1;Mitte;101;Mitte;1;A;65_70;179;;;
1;Mitte;101;Mitte;1;A;70_75;130;;;
1;Mitte;101;Mitte;1;A;75_80;72;;;
1;Mitte;101;Mitte;1;A;80_85;40;;;
1;Mitte;101;Mitte;1;A;85_90;25;;;
1;Mitte;101;Mitte;1;A;90_95;6;;;
1;Mitte;101;Mitte;1;D;00_05;2078;;;
1;Mitte;101;Mitte;1;D;05_10;1607;;;
1;Mitte;101;Mitte;1;D;10_15;1232;;;
1;Mitte;101;Mitte;1;D;15_20;948;;;
1;Mitte;101;Mitte;1;D;20_25;1208;;;
1;Mitte;101;Mitte;1;D;25_30;2805;;;
1;Mitte;101;Mitte;1;D;30_35;3434;;;
1;Mitte;101;Mitte;1;D;35_40;3421;;;
1;Mitte;101;Mitte;1;D;40_45;2975;;;
1;Mitte;101;Mitte;1;D;45_50;3314;;;
1;Mitte;101;Mitte;1;D;50_55;3057;;;
1;Mitte;101;Mitte;1;D;55_60;2090;;;
1;Mitte;101;Mitte;1;D;60_65;1647;;;
1;Mitte;101;Mitte;1;D;65_70;1273;;;
1;Mitte;101;Mitte;1;D;70_75;1153;;;
1;Mitte;101;Mitte;1;D;75_80;1333;;;
1;Mitte;101;Mitte;1;D;80_85;881;;;
1;Mitte;101;Mitte;1;D;85_90;440;;;
1;Mitte;101;Mitte;1;D;90_95;95;;;
1;Mitte;101;Mitte;1;D;95_und_alter;12;
1;Mitte;101;Mitte;2;A;00_05;385;;;
1;Mitte;101;Mitte;2;A;05_10;260;;;
1;Mitte;101;Mitte;2;A;10_15;238;;;
1;Mitte;101;Mitte;2;A;15_20;366;;;
1;Mitte;101;Mitte;2;A;20_25;1234;;;
1;Mitte;101;Mitte;2;A;25_30;2453;;;
1;Mitte;101;Mitte;2;A;30_35;2375;;;
1;Mitte;101;Mitte;2;A;35_40;1546;;;
1;Mitte;101;Mitte;2;A;40_45;1131;;;
1;Mitte;101;Mitte;2;A;45_50;852;;;
1;Mitte;101;Mitte;2;A;50_55;516;;;
1;Mitte;101;Mitte;2;A;55_60;332;;;
1;Mitte;101;Mitte;2;A;60_65;268;;;
1;Mitte;101;Mitte;2;A;65_70;174;;;
1;Mitte;101;Mitte;2;A;70_75;123;;;
1;Mitte;101;Mitte;2;A;75_80;71;;;
1;Mitte;101;Mitte;2;A;80_85;27;;;
1;Mitte;101;Mitte;2;A;85_90;15;;;
1;Mitte;101;Mitte;2;A;90_95;6;;;
1;Mitte;101;Mitte;2;A;95_und_alter;3;
1;Mitte;101;Mitte;2;D;00_05;1951;;;
1;Mitte;101;Mitte;2;D;05_10;1600;;;
1;Mitte;101;Mitte;2;D;10_15;1168;;;
1;Mitte;101;Mitte;2;D;15_20;1009;;;
1;Mitte;101;Mitte;2;D;20_25;1422;;;
1;Mitte;101;Mitte;2;D;25_30;2818;;;
1;Mitte;101;Mitte;2;D;30_35;3265;;;
1;Mitte;101;Mitte;2;D;35_40;3000;;;
1;Mitte;101;Mitte;2;D;40_45;2427;;;
1;Mitte;101;Mitte;2;D;45_50;2563;;;
1;Mitte;101;Mitte;2;D;50_55;2477;;;
1;Mitte;101;Mitte;2;D;55_60;1911;;;
1;Mitte;101;Mitte;2;D;60_65;1702;;;
1;Mitte;101;Mitte;2;D;65_70;1371;;;
1;Mitte;101;Mitte;2;D;70_75;1527;;;
1;Mitte;101;Mitte;2;D;75_80;1958;;;
1;Mitte;101;Mitte;2;D;80_85;1220;;;
1;Mitte;101;Mitte;2;D;85_90;681;;;
1;Mitte;101;Mitte;2;D;90_95;243;;;
1;Mitte;101;Mitte;2;D;95_und_alter;58;
1;Mitte;102;Moabit;1;A;00_05;359;;;
1;Mitte;102;Moabit;1;A;05_10;336;;;
1;Mitte;102;Moabit;1;A;10_15;289;;;
1;Mitte;102;Moabit;1;A;15_20;510;;;
1;Mitte;102;Moabit;1;A;20_25;1260;;;
1;Mitte;102;Moabit;1;A;25_30;1877;;;
1;Mitte;102;Moabit;1;A;30_35;1704;;;
1;Mitte;102;Moabit;1;A;35_40;1362;;;
1;Mitte;102;Moabit;1;A;40_45;1185;;;
1;Mitte;102;Moabit;1;A;45_50;1008;;;
1;Mitte;102;Moabit;1;A;50_55;887;;;
1;Mitte;102;Moabit;1;A;55_60;643;;;
1;Mitte;102;Moabit;1;A;60_65;420;;;
1;Mitte;102;Moabit;1;A;65_70;351;;;
1;Mitte;102;Moabit;1;A;70_75;281;;;
1;Mitte;102;Moabit;1;A;75_80;212;;;
1;Mitte;102;Moabit;1;A;80_85;95;;;
1;Mitte;102;Moabit;1;A;85_90;21;;;
1;Mitte;102;Moabit;1;A;90_95;7;;;
1;Mitte;102;Moabit;1;D;00_05;1618;;;
1;Mitte;102;Moabit;1;D;05_10;1230;;;
1;Mitte;102;Moabit;1;D;10_15;1144;;;
1;Mitte;102;Moabit;1;D;15_20;1155;;;
1;Mitte;102;Moabit;1;D;20_25;1876;;;
1;Mitte;102;Moabit;1;D;25_30;3225;;;
1;Mitte;102;Moabit;1;D;30_35;2823;;;
1;Mitte;102;Moabit;1;D;35_40;2231;;;
1;Mitte;102;Moabit;1;D;40_45;1573;;;
1;Mitte;102;Moabit;1;D;45_50;1844;;;
1;Mitte;102;Moabit;1;D;50_55;2220;;;
1;Mitte;102;Moabit;1;D;55_60;1826;;;
